,Latitude,Longitude,City,Country,Temperature,Humidity,Clouds,Wind
0,0.8800000000464934,-12.320000000152504,buchanan,lr,77,88,75,6.31
1,-74.9399999999923,-87.39000000008423,punta arenas,cl,53.6,62,40,25.28
2,37.6400000000653,-100.840000000072,garden city,us,48.65,81,90,2.39
3,-1.6399999999547958,96.32999999974868,padang,id,79.57,100,44,1.95
4,65.10000000007935,-99.13000000007355,thompson,ca,-5.81,58,75,12.75
5,7.610000000049936,174.78999999967732,butaritari,ki,81.28,100,76,13.35
6,-28.459999999968517,6.919999999829997,luderitz,na,62.6,88,0,4.7
7,74.01000000008389,-88.6300000000831,qaanaaq,gl,-15.65,90,12,6.53
8,45.140000000069136,16.179999999821575,zboriste,ba,37.4,93,90,2.24
9,-81.61999999999571,58.86999999978275,east london,za,64.4,93,20,3.36
10,-9.229999999958679,34.21999999980517,matamba,tz,59.73,89,8,3.4
12,30.8000000000618,-167.920000000011,kapaa,us,76.03,73,75,14.99
13,19.380000000055958,-152.26000000002523,hilo,us,66.04,83,90,4.7
14,79.03000000008649,161.4999999996894,cherskiy,ru,15.13,71,88,3.62
15,21.44000000005701,-65.73000000010393,san juan,us,71.58,60,90,10.29
16,-42.24999999997557,-68.63000000010129,san carlos de bariloche,ar,73.4,25,0,20.8
17,14.89000000005366,48.45999999979222,bosaso,so,69.81,100,0,2.73
18,-52.28999999998071,-126.37000000004878,rikitea,pf,80.38,99,8,15.14
20,-83.01999999999643,-5.370000000158825,hermanus,za,68.55,69,0,6.2
21,-87.16999999999855,131.86999999971636,hobart,au,78.8,61,0,1.12
23,-17.589999999962956,-33.200000000133514,belmonte,br,77.82,88,56,6.42
24,73.79000000008381,122.38999999972498,tiksi,ru,-37.66,75,0,2.95
26,-51.189999999980145,-93.31000000007884,castro,cl,62.52,74,32,4.85
27,-63.759999999986576,154.6799999996956,tuatapere,nz,65.4,93,64,1.16
28,45.38000000006926,104.38999999974135,mandalgovi,mn,-22.54,28,0,5.64
29,-21.40999999996491,-0.3400000001633998,jamestown,sh,72.28,99,0,15.03
32,-86.93999999999843,-61.380000000107884,ushuaia,ar,54.12,71,75,33.33
33,51.57000000007241,59.97999999978174,adamovka,ru,-16.33,48,0,6.64
37,89.93000000009204,-146.0400000000309,barrow,us,50.76,37,1,9.17
39,55.54000000007446,-174.36000000000513,provideniya,ru,28.4,79,90,6.71
40,0.04000000004606363,-35.530000000131395,aquiraz,br,80.6,78,40,8.05
41,-68.84999999998918,127.25999999972055,new norfolk,au,78.8,61,0,1.12
44,-35.02999999997188,-62.730000000106656,general pico,ar,84.12,60,0,5.97
45,17.00000000005474,112.34999999973411,wanning,cn,64.63,100,36,28.57
49,82.8000000000884,-52.62000000011585,upernavik,gl,-2.78,100,24,1.72
51,58.32000000007588,-107.95000000006553,la ronge,ca,-5.81,63,90,2.24
55,-9.239999999958684,-71.97000000009825,porto walter,br,92.35,48,56,3.29
56,-13.979999999961109,-43.2200000001244,palmas de monte alto,br,82.5,60,32,2.95
58,59.42000000007644,-38.730000000128484,tasiilaq,gl,23,73,88,1.12
64,13.850000000053129,-84.75000000008663,siuna,ni,77.37,89,48,4.52
65,58.47000000007597,59.99999999978172,krasnouralsk,ru,12.12,68,68,11.9
67,63.68000000007862,42.359999999797765,lukovetskiy,ru,30.2,100,90,4.47
68,63.79000000007869,-49.130000000119026,paamiut,gl,18.06,100,32,7.76
71,45.70000000006942,145.39999999970405,otradnoye,ru,32,95,75,15.66
73,26.54000000005962,118.15999999972883,zhicheng,cn,9.24,78,0,7.65
74,59.24000000007635,32.199999999807005,budogoshch,ru,31.42,90,88,9.1
77,-15.359999999961815,-164.12000000001444,alofi,nu,78.8,88,75,6.93
78,-11.329999999959753,13.79999999982374,sumbe,ao,78.58,100,68,5.53
82,-4.5799999999563,-31.73000000013485,natal,br,82.4,69,40,13.87
83,-58.74999999998401,-8.85000000015566,cape town,za,73.4,64,0,3.36
84,57.79000000007562,172.33999999967955,tilichiki,ru,34.26,94,92,19.39
86,1.9100000000470203,46.94999999979359,mogadishu,so,77.05,100,0,17.27
87,40.06000000006654,85.11999999975887,korla,cn,-13.63,56,20,2.51
89,-14.909999999961585,-78.6300000000922,pisco,pe,77,69,0,19.46
90,-16.449999999962372,-85.12000000008629,lima,pe,73.18,60,0,2.73
91,-46.069999999977526,-31.63000000013494,cidreira,br,74.98,92,88,2.84
92,50.92000000007209,-50.62000000011767,bonavista,ca,38.8,80,36,22.86
94,56.96000000007518,17.23999999982061,oskarshamn,se,42.8,75,0,23.04
95,21.880000000057237,-156.900000000021,kailua,us,78.84,78,40,9.17
98,68.90000000008129,-129.59000000004585,tuktoyaktuk,ca,-14.18,75,20,11.41
99,8.600000000050443,-17.960000000147375,bubaque,gw,77,50,88,4.7
101,66.67000000008017,15.849999999821875,rognan,no,28.4,63,75,26.4
102,37.33000000006514,-38.48000000012871,ribeira grande,pt,60.8,87,75,12.75
105,76.5100000000852,153.18999999969697,chokurdakh,ru,-28.07,45,36,3.74
108,55.340000000074355,92.57999999975209,ovsyanka,ru,-26.45,39,8,3.29
109,-38.72999999997377,-24.470000000141454,arraial do cabo,br,83.26,79,40,13.87
110,-10.589999999959375,118.53999999972848,waingapu,id,75.57,98,80,13.35
112,66.5800000000801,14.479999999823121,storforshei,no,28.4,58,75,18.34
113,-69.8799999999897,-178.07000000000176,vaini,to,77,94,90,11.41
114,-2.7299999999553535,-129.22000000004618,atuona,pf,80.92,100,64,19.84
115,63.060000000078304,68.52999999977396,oktyabrskoye,ru,1.59,71,80,7.87
118,-13.899999999961068,-110.61000000006311,puerto ayora,ec,87.8,55,20,5.82
120,-68.15999999998883,107.13999999973885,albany,au,55.5,77,80,5.97
121,-30.569999999969596,74.15999999976884,bambous virieux,mu,78.8,88,40,8.05
124,66.5500000000801,-153.26000000002432,college,us,-17.83,75,75,2.73
125,-56.91999999998308,162.8199999996882,bluff,nz,64.86,97,8,7.54
126,19.570000000056055,106.34999999973957,thanh hoa,vn,75.93,95,76,4.18
127,-56.98999999998311,-28.260000000138007,chuy,uy,75.3,73,0,22.53
128,-70.12999999998983,33.60999999980572,port elizabeth,za,69.8,83,75,12.75
129,73.06000000008342,-123.42000000005146,norman wells,ca,-22.01,74,75,3.36
130,-6.909999999957492,-15.530000000149585,georgetown,sh,77,73,20,14.99
131,67.42000000008053,-6.920000000157415,klaksvik,fo,39.2,97,76,17.22
136,10.49000000005141,9.629999999827533,bauchi,ng,61.26,61,0,4.74
137,76.41000000008512,-109.44000000006417,yellowknife,ca,-16.61,68,20,3.62
